assembly_version	biosample_accession	bioproject_accession	organism	genus	n_arg_occurrences	n_plasmid_args	n_chromosomal_args	pct_plasmid	n_distinct_families	n_arg_bearing_replicons	n_arg_bearing_plasmids
GCF_022354525.1	SAMN25953952	PRJNA807088	Klebsiella pneumoniae	Klebsiella	19	13	6	68.421	17	4	3
GCF_022354545.1	SAMN13925604	PRJNA603241	Klebsiella pneumoniae	Klebsiella	24	7	17	29.167	20	2	1
GCF_022354625.1	SAMN13925600	PRJNA603241	Klebsiella pneumoniae	Klebsiella	23	19	4	82.609	22	2	1
GCF_022354665.1	SAMN13925598	PRJNA603241	Klebsiella pneumoniae	Klebsiella	19	15	4	78.947	17	2	1
GCF_022354725.1	SAMN13925595	PRJNA603241	Klebsiella pneumoniae	Klebsiella	14	10	4	71.429	14	2	1
GCF_022354785.1	SAMN17598826	PRJNA695031	Pseudomonas putida	Pseudomonas	3	0	3	0.0	3	1	0
GCF_022369815.1	SAMN15437788	PRJNA643814	Klebsiella pneumoniae	Klebsiella	22	18	4	81.818	20	4	3
GCF_022369925.1	SAMN15437778	PRJNA643814	Klebsiella pneumoniae	Klebsiella	25	21	4	84.0	22	4	3
GCF_022376815.1	SAMN17117771	PRJNA686409	Enterobacter hormaechei	Enterobacter	5	1	4	20.0	5	2	1
GCF_022424055.2	SAMN21357978	PRJNA761695	Pseudomonas aeruginosa	Pseudomonas	10	0	10	0.0	8	1	0
GCF_022433565.1	SAMN17131930	PRJNA658369	Klebsiella quasipneumoniae	Klebsiella	5	1	4	20.0	5	2	1
GCF_022453565.1	SAMN26106931	PRJNA808803	Klebsiella pneumoniae	Klebsiella	23	19	4	82.609	23	3	2
GCF_022453645.1	SAMN26116602	PRJNA808853	Klebsiella pneumoniae	Klebsiella	34	30	4	88.235	29	4	3
GCF_022453765.1	SAMN26182822	PRJNA809509	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_022453785.1	SAMN26195979	PRJNA809577	Klebsiella variicola	Klebsiella	4	0	4	0.0	4	1	0
GCF_022453825.1	SAMN26196856	PRJNA809640	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_022475535.1	SAMN26420011	PRJNA812595	Klebsiella oxytoca	Klebsiella	14	11	3	78.571	13	2	1
GCF_022492855.1	SAMN26209581	PRJNA809903	Klebsiella pneumoniae	Klebsiella	19	15	4	78.947	16	6	5
GCF_022492875.1	SAMN26209580	PRJNA809903	Klebsiella pneumoniae	Klebsiella	20	16	4	80.0	16	6	5
GCF_022492895.1	SAMN26209579	PRJNA809903	Klebsiella pneumoniae	Klebsiella	20	16	4	80.0	16	6	5
GCF_022493975.1	SAMN13925553	PRJNA603241	Klebsiella pneumoniae	Klebsiella	24	7	17	29.167	20	2	1
GCF_022494055.1	SAMN13925557	PRJNA603241	Klebsiella quasipneumoniae	Klebsiella	25	21	4	84.0	24	3	2
GCF_022494195.1	SAMN13925564	PRJNA603241	Klebsiella pneumoniae	Klebsiella	19	15	4	78.947	18	2	1
GCF_022494215.1	SAMN13925565	PRJNA603241	Klebsiella pneumoniae	Klebsiella	38	34	4	89.474	31	3	2
GCF_022494255.1	SAMN13925567	PRJNA603241	Klebsiella pneumoniae	Klebsiella	19	15	4	78.947	18	2	1
GCF_022494375.1	SAMN13925573	PRJNA603241	Klebsiella pneumoniae	Klebsiella	23	19	4	82.609	22	2	1
GCF_022494395.1	SAMN13925574	PRJNA603241	Klebsiella pneumoniae	Klebsiella	23	19	4	82.609	22	2	1
GCF_022533445.1	SAMN25846920	PRJNA805242	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_022533505.1	SAMN26270981	PRJNA810585	Klebsiella pneumoniae	Klebsiella	15	11	4	73.333	14	3	2
GCF_022533525.1	SAMN26270980	PRJNA810585	Klebsiella pneumoniae	Klebsiella	15	11	4	73.333	14	3	2
GCF_022539425.1	SAMN26292662	PRJNA810945	Klebsiella pneumoniae	Klebsiella	24	20	4	83.333	19	4	3
GCF_022558365.1	SAMN18719513	PRJNA721481	Klebsiella pneumoniae	Klebsiella	14	8	6	57.143	12	3	2
GCF_022559545.1	SAMN20458429	PRJNA750451	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_022559745.1	SAMN23139065	PRJNA780373	Enterobacter kobei	Enterobacter	4	0	4	0.0	4	1	0
GCF_022559765.1	SAMN23139062	PRJNA780373	Klebsiella pneumoniae	Klebsiella	48	44	4	91.667	37	6	5
GCF_022559785.1	SAMN23139063	PRJNA780373	Klebsiella pneumoniae	Klebsiella	29	25	4	86.207	24	5	4
GCF_022559855.1	SAMN25301093	PRJNA801146	Klebsiella grimontii	Klebsiella	15	12	3	80.0	15	3	2
GCF_022569835.1	SAMN26455295	PRJNA813204	Klebsiella michiganensis	Klebsiella	3	0	3	0.0	3	1	0
GCF_022569855.1	SAMN26226229	PRJNA810040	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_022569895.1	SAMN26226226	PRJNA810040	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_022569915.1	SAMN26226225	PRJNA810040	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_022569935.1	SAMN26226224	PRJNA810040	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_022569975.1	SAMN26226220	PRJNA810040	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_022569995.1	SAMN26226219	PRJNA810040	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_022570115.1	SAMN26226218	PRJNA810040	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_022570235.1	SAMN26226217	PRJNA810040	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_022570415.1	SAMN26226215	PRJNA810040	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_022570435.1	SAMN26226214	PRJNA810040	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_022570455.1	SAMN26226213	PRJNA810040	Pseudomonas aeruginosa	Pseudomonas	11	0	11	0.0	8	1	0
GCF_022570475.1	SAMN26226212	PRJNA810040	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_022570715.1	SAMN26527994	PRJNA813899	Enterobacter asburiae	Enterobacter	10	5	5	50.0	10	3	2
GCF_022570755.1	SAMN26497585	PRJNA813364	Klebsiella pneumoniae	Klebsiella	20	16	4	80.0	20	3	2
GCF_022577075.1	SAMN21849140	PRJNA766494	Klebsiella pneumoniae	Klebsiella	14	10	4	71.429	14	3	2
GCF_022592575.1	SAMN20294500	PRJNA747739	Klebsiella pneumoniae	Klebsiella	40	34	6	85.0	34	4	3
GCF_022592735.1	SAMN24907213	PRJNA796694	Klebsiella pneumoniae	Klebsiella	21	17	4	80.952	20	4	3
GCF_022605305.1	SAMN26549876	PRJNA473419	Klebsiella oxytoca	Klebsiella	3	0	3	0.0	3	1	0
GCF_022605325.1	SAMN26445370	PRJNA813028	Klebsiella sp.	Klebsiella	3	0	3	0.0	3	1	0
GCF_022637595.1	SAMN26520703	PRJNA631893	Klebsiella planticola	Klebsiella	3	0	3	0.0	3	1	0
GCF_022637915.1	SAMN26564916	PRJNA814681	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_022638055.1	SAMN26565086	PRJNA784987	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_022638175.1	SAMN26565131	PRJNA814694	Pseudomonas aeruginosa	Pseudomonas	4	0	4	0.0	4	1	0
GCF_022649105.1	SAMN26565087	PRJNA814691	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_022649245.1	SAMN26565253	PRJNA814703	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_022670795.1	SAMN26650298	PRJNA815903	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_022699305.1	SAMN26668026	PRJNA816291	Klebsiella pneumoniae	Klebsiella	34	14	20	41.176	19	2	1
GCF_022699325.1	SAMN26668869	PRJNA816304	Klebsiella pneumoniae	Klebsiella	18	4	14	22.222	14	2	1
GCF_022699345.1	SAMN26668071	PRJNA816295	Klebsiella pneumoniae	Klebsiella	34	14	20	41.176	19	2	1
GCF_022699485.1	SAMN26741374	PRJNA817017	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_022699505.1	SAMN26741367	PRJNA817014	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_022699525.1	SAMN26741403	PRJNA817025	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_022700635.2	SAMN15963197	PRJNA660892	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_022700775.1	SAMN16552197	PRJNA671820	Klebsiella aerogenes	Klebsiella	4	0	4	0.0	4	1	0
GCF_022701055.1	SAMN16178551	PRJNA663420	Klebsiella pneumoniae	Klebsiella	12	7	5	58.333	12	3	2
GCF_022749215.1	SAMN26655402	PRJNA816050	Klebsiella pneumoniae	Klebsiella	34	14	20	41.176	19	2	1
GCF_022749475.1	SAMN26814915	PRJNA818063	Klebsiella pneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCF_022759585.1	SAMN26813722	PRJNA817889	Klebsiella aerogenes	Klebsiella	24	21	3	87.5	21	6	5
GCF_022759605.1	SAMN26813932	PRJNA818004	Klebsiella aerogenes	Klebsiella	20	16	4	80.0	18	2	1
GCF_022759625.1	SAMN22108727	PRJNA769291	Klebsiella pneumoniae	Klebsiella	16	12	4	75.0	16	2	1
GCF_022759645.1	SAMN22108728	PRJNA769291	Klebsiella pneumoniae	Klebsiella	16	12	4	75.0	16	2	1
GCF_022759665.1	SAMN22108729	PRJNA769291	Klebsiella pneumoniae	Klebsiella	16	12	4	75.0	16	2	1
GCF_022759685.1	SAMN22108730	PRJNA769291	Klebsiella pneumoniae	Klebsiella	16	12	4	75.0	16	2	1
GCF_022759705.1	SAMN22108726	PRJNA769291	Klebsiella pneumoniae	Klebsiella	16	12	4	75.0	16	2	1
GCF_022759925.1	SAMN22108732	PRJNA769291	Klebsiella pneumoniae	Klebsiella	26	21	5	80.769	21	5	4
GCF_022759945.1	SAMN22108733	PRJNA769291	Klebsiella pneumoniae	Klebsiella	24	19	5	79.167	20	5	4
GCF_022759965.1	SAMN22108734	PRJNA769291	Klebsiella pneumoniae	Klebsiella	26	21	5	80.769	21	5	4
GCF_022759985.1	SAMN22108735	PRJNA769291	Klebsiella pneumoniae	Klebsiella	23	18	5	78.261	21	4	3
GCF_022760005.1	SAMN22108731	PRJNA769291	Klebsiella pneumoniae	Klebsiella	35	30	5	85.714	28	5	4
GCF_022789105.2	SAMN17766508	PRJNA591480	Klebsiella pneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCF_022789185.2	SAMN17766507	PRJNA591480	Klebsiella pneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCF_022789205.2	SAMN17766502	PRJNA591480	Klebsiella pneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCF_022789345.2	SAMN17766494	PRJNA591480	Klebsiella pneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCF_022789585.2	SAMN17766480	PRJNA591480	Klebsiella pneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCF_022789685.2	SAMN17766475	PRJNA591480	Klebsiella pneumoniae	Klebsiella	5	1	4	20.0	5	2	1
GCF_022789725.2	SAMN17766472	PRJNA591480	Klebsiella pneumoniae	Klebsiella	2	0	2	0.0	2	1	0
GCF_022789805.2	SAMN17766468	PRJNA591480	Klebsiella pneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCF_022789885.2	SAMN17766463	PRJNA591480	Klebsiella pneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCF_022789905.2	SAMN17766464	PRJNA591480	Klebsiella pneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCF_022789975.2	SAMN13382597	PRJNA591480	Klebsiella pneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCF_022789985.2	SAMN13382596	PRJNA591480	Klebsiella pneumoniae	Klebsiella	2	0	2	0.0	2	1	0
GCF_022790165.2	SAMN13382581	PRJNA591480	Klebsiella pneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCF_022790205.2	SAMN13382579	PRJNA591480	Klebsiella pneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCF_022790305.2	SAMN13382572	PRJNA591480	Klebsiella pneumoniae	Klebsiella	5	0	5	0.0	5	1	0
GCF_022790445.2	SAMN13382564	PRJNA591480	Klebsiella pneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCF_022809675.1	SAMN26900494	PRJNA819173	Klebsiella pneumoniae	Klebsiella	15	6	9	40.0	12	3	2
GCF_022809875.1	SAMN26994141	PRJNA820350	Klebsiella pneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCF_022810825.1	SAMN13781155	PRJNA600039	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_022810865.1	SAMN16443711	PRJNA669568	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_022810885.1	SAMN16443710	PRJNA669568	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_022810905.1	SAMN16443708	PRJNA669568	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_022810925.1	SAMN16443707	PRJNA669568	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_022810945.1	SAMN16443705	PRJNA669568	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_022810965.1	SAMN16443706	PRJNA669568	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_022810985.1	SAMN16443702	PRJNA669568	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_022811005.1	SAMN16443704	PRJNA669568	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_022811025.1	SAMN16443703	PRJNA669568	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_022811045.1	SAMN16443700	PRJNA669568	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_022811065.1	SAMN16443701	PRJNA669568	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_022811805.1	SAMN16443709	PRJNA669568	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_022818695.2	SAMN17766469	PRJNA591480	Klebsiella quasivariicola	Klebsiella	4	0	4	0.0	4	1	0
GCF_022828525.1	SAMN23012467	PRJNA779111	Klebsiella pneumoniae	Klebsiella	15	11	4	73.333	14	3	2
GCF_022828555.1	SAMN23012466	PRJNA779111	Klebsiella pneumoniae	Klebsiella	15	11	4	73.333	14	3	2
GCF_022828575.1	SAMN23012465	PRJNA779111	Klebsiella pneumoniae	Klebsiella	15	11	4	73.333	14	3	2
GCF_022832735.1	SAMN27117998	PRJNA821637	Enterobacter ludwigii	Enterobacter	5	1	4	20.0	5	2	1
GCF_022869145.1	SAMN27162961	PRJNA822025	Klebsiella pneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCF_022869665.1	SAMN14078806	PRJNA605254	Klebsiella pneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCF_022869885.1	SAMN27163261	PRJNA821554	Klebsiella michiganensis	Klebsiella	22	18	4	81.818	20	4	3
GCF_022870025.1	SAMN14078799	PRJNA605254	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_022870525.1	SAMN14352261	PRJNA611939	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_022870545.1	SAMN14352263	PRJNA611939	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_022870565.1	SAMN14352264	PRJNA611939	Pseudomonas aeruginosa	Pseudomonas	6	0	6	0.0	6	1	0
GCF_022870645.1	SAMN16770105	PRJNA676183	Klebsiella pneumoniae	Klebsiella	10	5	5	50.0	8	3	2
GCF_022870805.1	SAMN23040606	PRJNA779558	Klebsiella pneumoniae	Klebsiella	29	22	7	75.862	26	4	3
GCF_022915955.1	SAMN27182089	PRJNA812595	Klebsiella aerogenes	Klebsiella	4	0	4	0.0	4	1	0
GCF_022921135.1	SAMN27304319	PRJNA823511	Klebsiella pneumoniae	Klebsiella	17	13	4	76.471	15	3	2
GCF_022964795.1	SAMN17766602	PRJNA822931	Klebsiella pneumoniae	Klebsiella	19	15	4	78.947	17	3	2
GCF_022964835.1	SAMN17766553	PRJNA822931	Klebsiella pneumoniae	Klebsiella	29	25	4	86.207	25	3	2
GCF_022964855.1	SAMN17766581	PRJNA822931	Klebsiella pneumoniae	Klebsiella	12	3	9	25.0	11	2	1
GCF_022964875.1	SAMN17766548	PRJNA822931	Klebsiella pneumoniae	Klebsiella	24	20	4	83.333	21	4	3
GCF_022982555.1	SAMN27363254	PRJNA823907	Klebsiella pneumoniae	Klebsiella	14	10	4	71.429	13	3	2
GCF_022982575.1	SAMN27363257	PRJNA823907	Klebsiella pneumoniae	Klebsiella	12	10	2	83.333	11	3	2
GCF_022982595.1	SAMN27363255	PRJNA823907	Klebsiella pneumoniae	Klebsiella	12	8	4	66.667	11	3	2
GCF_022982615.1	SAMN27363256	PRJNA823907	Klebsiella pneumoniae	Klebsiella	7	5	2	71.429	7	4	3
GCF_022982715.1	SAMN27363253	PRJNA823907	Klebsiella pneumoniae	Klebsiella	19	13	6	68.421	18	3	2
GCF_023023045.1	SAMN21379558	PRJNA762162	Enterobacter asburiae	Enterobacter	2	1	1	50.0	2	2	1
GCF_023023065.1	SAMN21379557	PRJNA762162	Enterobacter roggenkampii	Enterobacter	4	1	3	25.0	4	2	1
GCF_023023085.1	SAMN21379556	PRJNA762162	Enterobacter cloacae	Enterobacter	15	11	4	73.333	15	2	1
GCF_023023125.1	SAMN21379554	PRJNA762162	Enterobacter kobei	Enterobacter	6	2	4	33.333	6	2	1
GCF_023023145.1	SAMN21379553	PRJNA762162	Enterobacter asburiae	Enterobacter	27	22	5	81.481	24	2	1
GCF_023023265.1	SAMN21379552	PRJNA762162	Enterobacter asburiae	Enterobacter	8	3	5	37.5	8	3	2
GCF_023023665.1	SAMN21379550	PRJNA762162	Enterobacter hormaechei	Enterobacter	15	11	4	73.333	12	2	1
GCF_023023685.1	SAMN21379549	PRJNA762162	Enterobacter roggenkampii	Enterobacter	26	22	4	84.615	21	3	2
GCF_023023705.1	SAMN21379548	PRJNA762162	Enterobacter kobei	Enterobacter	8	4	4	50.0	8	2	1
GCF_023025805.1	SAMN23040723	PRJNA692086	Klebsiella pneumoniae	Klebsiella	11	7	4	63.636	10	2	1
GCF_023066605.1	SAMN22822729	PRJNA776891	Klebsiella pneumoniae	Klebsiella	21	15	6	71.429	19	3	2
GCF_023066625.1	SAMN22822728	PRJNA776891	Klebsiella pneumoniae	Klebsiella	9	5	4	55.556	7	3	2
GCF_023066645.1	SAMN22822727	PRJNA776891	Klebsiella pneumoniae	Klebsiella	24	20	4	83.333	20	4	3
GCF_023066665.1	SAMN22822726	PRJNA776891	Klebsiella pneumoniae	Klebsiella	13	11	2	84.615	11	3	2
GCF_023066685.1	SAMN22822725	PRJNA776891	Klebsiella pneumoniae	Klebsiella	10	6	4	60.0	10	2	1
GCF_023066705.1	SAMN22822724	PRJNA776891	Klebsiella pneumoniae	Klebsiella	8	2	6	25.0	8	2	1
GCF_023066725.1	SAMN22822723	PRJNA776891	Klebsiella pneumoniae	Klebsiella	15	11	4	73.333	14	3	2
GCF_023066745.1	SAMN22822722	PRJNA776891	Klebsiella pneumoniae	Klebsiella	24	20	4	83.333	18	3	2
GCF_023066765.1	SAMN22822721	PRJNA776891	Klebsiella pneumoniae	Klebsiella	29	27	2	93.103	22	3	2
GCF_023066785.1	SAMN22822720	PRJNA776891	Klebsiella pneumoniae	Klebsiella	36	34	2	94.444	22	3	2
GCF_023066805.1	SAMN22822719	PRJNA776891	Klebsiella pneumoniae	Klebsiella	28	26	2	92.857	22	3	2
GCF_023066825.1	SAMN24579863	PRJNA793718	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_023066845.1	SAMN24579862	PRJNA793718	Pseudomonas aeruginosa	Pseudomonas	9	0	9	0.0	9	1	0
GCF_023066865.1	SAMN24579861	PRJNA793718	Pseudomonas aeruginosa	Pseudomonas	20	15	5	75.0	18	2	1
GCF_023093835.1	SAMN26455257	PRJNA813202	Klebsiella michiganensis	Klebsiella	4	0	4	0.0	4	1	0
GCF_023093935.1	SAMN27570671	PRJNA826526	Pseudomonas aeruginosa	Pseudomonas	10	0	10	0.0	9	1	0
GCF_023093975.1	SAMN27570673	PRJNA826526	Pseudomonas aeruginosa	Pseudomonas	10	3	7	30.0	10	2	1
GCF_023093995.1	SAMN27606095	PRJNA827194	Klebsiella pneumoniae	Klebsiella	18	14	4	77.778	16	2	1
GCF_023101265.1	SAMN27554290	PRJNA826241	Pseudomonas aeruginosa	Pseudomonas	27	22	5	81.481	22	2	1
GCF_023101285.1	SAMN27554289	PRJNA826241	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_023101305.1	SAMN27554288	PRJNA826241	Pseudomonas aeruginosa	Pseudomonas	12	7	5	58.333	11	2	1
GCF_023101705.1	SAMN21379551	PRJNA762162	Enterobacter asburiae	Enterobacter	18	13	5	72.222	16	3	2
GCF_023184535.1	SAMN27594434	PRJNA827023	Klebsiella pneumoniae	Klebsiella	29	25	4	86.207	23	4	3
GCF_023195715.1	SAMN27117675	PRJNA473419	Enterobacter roggenkampii	Enterobacter	4	0	4	0.0	4	1	0
GCF_023205035.1	SAMN27737682	PRJNA830710	Klebsiella pneumoniae	Klebsiella	38	34	4	89.474	31	3	2
GCF_023205055.1	SAMN27737809	PRJNA830719	Klebsiella quasipneumoniae	Klebsiella	15	11	4	73.333	15	4	3
GCF_023238665.1	SAMN26686306	PRJNA816615	Enterobacter cloacae	Enterobacter	22	18	4	81.818	22	3	2
GCF_023272735.1	SAMN26678607	PRJNA816493	Klebsiella pneumoniae	Klebsiella	11	1	10	9.091	10	2	1
GCF_023272755.1	SAMN27926083	PRJNA832943	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_023333675.1	SAMN21379547	PRJNA762162	Enterobacter kobei	Enterobacter	32	18	14	56.25	26	4	3
GCF_023347665.1	SAMN25087048	PRJNA798585	Klebsiella pneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCF_023347685.1	SAMN25087049	PRJNA798585	Klebsiella pneumoniae	Klebsiella	14	9	5	64.286	14	3	2
GCF_023373545.1	SAMN20856063	PRJNA756129	Klebsiella pneumoniae	Klebsiella	13	9	4	69.231	12	3	2
GCF_023373565.1	SAMN20856570	PRJNA756155	Klebsiella quasipneumoniae	Klebsiella	22	18	4	81.818	19	3	2
GCF_023374165.1	SAMN27722566	PRJNA830444	Klebsiella pneumoniae	Klebsiella	38	29	9	76.316	31	3	2
GCF_023374185.1	SAMN27722567	PRJNA830444	Klebsiella pneumoniae	Klebsiella	38	29	9	76.316	31	3	2
GCF_023374205.1	SAMN27722573	PRJNA830444	Klebsiella pneumoniae	Klebsiella	38	29	9	76.316	31	3	2
GCF_023374225.1	SAMN27722574	PRJNA830444	Klebsiella pneumoniae	Klebsiella	24	15	9	62.5	21	2	1
GCF_023374245.1	SAMN27722563	PRJNA830444	Klebsiella pneumoniae	Klebsiella	39	30	9	76.923	31	4	3
GCF_023374275.1	SAMN27966081	PRJNA833245	Enterobacter bugandensis	Enterobacter	4	0	4	0.0	4	1	0
GCF_023375565.1	SAMN27363725	PRJNA823881	Enterobacter roggenkampii	Enterobacter	21	17	4	80.952	21	3	2
GCF_023375585.1	SAMN27363726	PRJNA823881	Enterobacter roggenkampii	Enterobacter	8	4	4	50.0	8	2	1
GCF_023375605.1	SAMN27363748	PRJNA823881	Enterobacter hormaechei	Enterobacter	15	11	4	73.333	15	2	1
GCF_023375625.1	SAMN27363776	PRJNA823881	Enterobacter roggenkampii	Enterobacter	4	1	3	25.0	4	2	1
GCF_023380065.1	SAMN28180381	PRJNA837013	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_023464655.1	SAMN27739180	PRJNA812595	Klebsiella aerogenes	Klebsiella	4	0	4	0.0	4	1	0
GCF_023518295.1	SAMN16992823	PRJNA682515	Klebsiella pneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCF_023518315.1	SAMN17214286	PRJNA663420	Klebsiella pneumoniae	Klebsiella	16	12	4	75.0	16	2	1
GCF_023518335.1	SAMN17214426	PRJNA663420	Klebsiella pneumoniae	Klebsiella	16	11	5	68.75	15	2	1
GCF_023520735.1	SAMN28206123	PRJNA837561	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_023538935.1	SAMN28404993	PRJNA838107	Klebsiella pneumoniae	Klebsiella	11	7	4	63.636	11	3	2
GCF_023538955.1	SAMN28404992	PRJNA838107	Klebsiella pneumoniae	Klebsiella	11	7	4	63.636	11	3	2
GCF_023538975.1	SAMN28404990	PRJNA838107	Klebsiella pneumoniae	Klebsiella	25	18	7	72.0	17	4	3
GCF_023538995.1	SAMN28404989	PRJNA838107	Klebsiella pneumoniae	Klebsiella	19	6	13	31.579	17	3	2
GCF_023546785.1	SAMN28421774	PRJNA838403	Pseudomonas sp.	Pseudomonas	1	1	0	100.0	1	1	1
GCF_023547225.1	SAMN22612719	PRJNA775673	Enterobacter hormaechei	Enterobacter	19	15	4	78.947	14	4	3
GCF_023547315.1	SAMN22612881	PRJNA775676	Enterobacter kobei	Enterobacter	8	4	4	50.0	8	3	2
GCF_023547485.1	SAMN14943921	PRJNA633449	Enterobacter hormaechei	Enterobacter	25	21	4	84.0	21	4	3
GCF_023558885.1	SAMN28416108	PRJNA838260	Enterobacter kobei	Enterobacter	4	0	4	0.0	4	1	0
GCF_023571485.1	SAMN28553478	PRJNA749299	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_023572735.3	SAMN27549385	PRJNA677881	Pseudomonas aeruginosa	Pseudomonas	25	0	25	0.0	18	1	0
GCF_023572965.1	SAMN28546263	PRJNA839691	Klebsiella pneumoniae	Klebsiella	14	10	4	71.429	12	3	2
GCF_023573585.1	SAMN28515229	PRJNA839226	Klebsiella pneumoniae	Klebsiella	7	3	4	42.857	6	2	1
GCF_023573605.1	SAMN28535410	PRJNA839526	Klebsiella quasipneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCF_023573645.1	SAMN28095491	PRJNA835045	Klebsiella pneumoniae	Klebsiella	9	5	4	55.556	9	3	2
GCF_023573685.1	SAMN28095489	PRJNA835045	Klebsiella pneumoniae	Klebsiella	12	6	6	50.0	11	2	1
GCF_023573705.1	SAMN28095488	PRJNA835045	Klebsiella pneumoniae	Klebsiella	31	28	3	90.323	20	4	3
GCF_023573725.1	SAMN28095486	PRJNA835045	Klebsiella pneumoniae	Klebsiella	13	7	6	53.846	12	4	3
GCF_023573745.1	SAMN28095485	PRJNA835045	Klebsiella pneumoniae	Klebsiella	10	6	4	60.0	9	2	1
GCF_023573765.1	SAMN28095484	PRJNA835045	Klebsiella pneumoniae	Klebsiella	12	8	4	66.667	11	3	2
