assembly_accession	assembly_version	replicon_accession	replicon_name	replicon_length	topology	species	genus	bioproject_accession	n_chromosomal_arg_occurrences	n_context_blocks	download_url	local_filename	expected_checksum
GCF_030035485.1	GCF_030035485.1	NZ_CP125343.1	chromosome	5465951	circular	Klebsiella pneumoniae	Klebsiella	PRJNA962850	2	2	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP125343.1&rettype=fasta&retmode=text	NZ_CP125343.1.fna	
GCF_030035505.1	GCF_030035505.1	NZ_CP125349.1	chromosome	5466795	circular	Klebsiella pneumoniae	Klebsiella	PRJNA962850	2	2	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP125349.1&rettype=fasta&retmode=text	NZ_CP125349.1.fna	
GCF_030053875.1	GCF_030053875.1	NZ_CP125734.1	chromosome	5277460	circular	Klebsiella pneumoniae	Klebsiella	PRJNA971759	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP125734.1&rettype=fasta&retmode=text	NZ_CP125734.1.fna	
GCF_030061645.1	GCF_030061645.1	NZ_CP093458.1	chromosome	5176823	circular	Klebsiella pneumoniae	Klebsiella	PRJNA815754	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP093458.1&rettype=fasta&retmode=text	NZ_CP093458.1.fna	
GCF_030061665.1	GCF_030061665.1	NZ_CP093465.1	chromosome	5250844	circular	Klebsiella pneumoniae	Klebsiella	PRJNA815754	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP093465.1&rettype=fasta&retmode=text	NZ_CP093465.1.fna	
GCF_030061685.1	GCF_030061685.1	NZ_CP093471.1	chromosome	5430590	circular	Klebsiella pneumoniae	Klebsiella	PRJNA815754	11	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP093471.1&rettype=fasta&retmode=text	NZ_CP093471.1.fna	
GCF_030061715.1	GCF_030061715.1	NZ_CP093476.1	chromosome	5584676	circular	Klebsiella pneumoniae	Klebsiella	PRJNA815754	2	2	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP093476.1&rettype=fasta&retmode=text	NZ_CP093476.1.fna	
GCF_030061755.1	GCF_030061755.1	NZ_CP093481.1	chromosome	5406546	circular	Klebsiella pneumoniae	Klebsiella	PRJNA815754	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP093481.1&rettype=fasta&retmode=text	NZ_CP093481.1.fna	
GCF_030061775.1	GCF_030061775.1	NZ_CP093486.1	chromosome	5246520	circular	Klebsiella pneumoniae	Klebsiella	PRJNA815754	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP093486.1&rettype=fasta&retmode=text	NZ_CP093486.1.fna	
GCF_030061795.1	GCF_030061795.1	NZ_CP093489.1	chromosome	5121870	circular	Klebsiella pneumoniae	Klebsiella	PRJNA815754	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP093489.1&rettype=fasta&retmode=text	NZ_CP093489.1.fna	
GCF_030061815.1	GCF_030061815.1	NZ_CP093495.1	chromosome	5286512	circular	Klebsiella pneumoniae	Klebsiella	PRJNA815754	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP093495.1&rettype=fasta&retmode=text	NZ_CP093495.1.fna	
GCF_030061865.1	GCF_030061865.1	NZ_CP093501.1	chromosome	5456744	circular	Klebsiella pneumoniae	Klebsiella	PRJNA815754	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP093501.1&rettype=fasta&retmode=text	NZ_CP093501.1.fna	
GCF_030122725.1	GCF_030122725.1	NZ_CP126058.1	chromosome	5381204	circular	Klebsiella pneumoniae	Klebsiella	PRJNA972998	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP126058.1&rettype=fasta&retmode=text	NZ_CP126058.1.fna	
GCF_030168225.1	GCF_030168225.1	NZ_CP096814.1	chromosome	5304985	circular	Klebsiella pneumoniae	Klebsiella	PRJNA833050	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP096814.1&rettype=fasta&retmode=text	NZ_CP096814.1.fna	
GCF_030169265.1	GCF_030169265.1	NZ_CP104603.1	chromosome	5296764	circular	Klebsiella pneumoniae	Klebsiella	PRJNA876631	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP104603.1&rettype=fasta&retmode=text	NZ_CP104603.1.fna	
GCF_030169555.1	GCF_030169555.1	NZ_CP104627.1	chromosome	5206219	circular	Klebsiella pneumoniae	Klebsiella	PRJNA876631	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP104627.1&rettype=fasta&retmode=text	NZ_CP104627.1.fna	
GCF_030252225.1	GCF_030252225.1	NZ_CP126974.1	chromosome	5261328	circular	Klebsiella pneumoniae	Klebsiella	PRJNA978384	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP126974.1&rettype=fasta&retmode=text	NZ_CP126974.1.fna	
GCF_030252445.1	GCF_030252445.1	NZ_CP126987.1	chromosome	5315057	circular	Klebsiella pneumoniae	Klebsiella	PRJNA978945	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP126987.1&rettype=fasta&retmode=text	NZ_CP126987.1.fna	
GCF_030263875.1	GCF_030263875.1	NZ_CP127153.1	chromosome	5501904	circular	Klebsiella pneumoniae	Klebsiella	PRJNA978940	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP127153.1&rettype=fasta&retmode=text	NZ_CP127153.1.fna	
GCF_030271855.1	GCF_030271855.1	NZ_CP110142.1	chromosome	5465190	circular	Klebsiella pneumoniae	Klebsiella	PRJNA893449	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP110142.1&rettype=fasta&retmode=text	NZ_CP110142.1.fna	
GCF_030271875.1	GCF_030271875.1	NZ_CP110145.1	chromosome	5304021	circular	Klebsiella pneumoniae	Klebsiella	PRJNA893449	11	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP110145.1&rettype=fasta&retmode=text	NZ_CP110145.1.fna	
GCF_030271895.1	GCF_030271895.1	NZ_CP110148.1	chromosome	5270699	circular	Klebsiella pneumoniae	Klebsiella	PRJNA893449	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP110148.1&rettype=fasta&retmode=text	NZ_CP110148.1.fna	
GCF_030271915.1	GCF_030271915.1	NZ_CP110150.1	chromosome	5200907	circular	Klebsiella pneumoniae	Klebsiella	PRJNA893449	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP110150.1&rettype=fasta&retmode=text	NZ_CP110150.1.fna	
GCF_030271935.1	GCF_030271935.1	NZ_CP110153.1	chromosome	5457787	circular	Klebsiella pneumoniae	Klebsiella	PRJNA893449	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP110153.1&rettype=fasta&retmode=text	NZ_CP110153.1.fna	
GCF_030271955.1	GCF_030271955.1	NZ_CP110160.1	chromosome	5455592	circular	Klebsiella pneumoniae	Klebsiella	PRJNA893449	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP110160.1&rettype=fasta&retmode=text	NZ_CP110160.1.fna	
GCF_030271975.1	GCF_030271975.1	NZ_CP110167.1	chromosome	5345654	circular	Klebsiella pneumoniae	Klebsiella	PRJNA893449	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP110167.1&rettype=fasta&retmode=text	NZ_CP110167.1.fna	
GCF_030271995.1	GCF_030271995.1	NZ_CP110170.1	chromosome	5295183	circular	Klebsiella pneumoniae	Klebsiella	PRJNA893449	23	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP110170.1&rettype=fasta&retmode=text	NZ_CP110170.1.fna	
GCF_030272015.1	GCF_030272015.1	NZ_CP110265.1	chromosome	5200817	circular	Klebsiella pneumoniae	Klebsiella	PRJNA893449	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP110265.1&rettype=fasta&retmode=text	NZ_CP110265.1.fna	
GCF_030272075.1	GCF_030272075.1	NZ_CP092536.1	chromosome	5397259	circular	Klebsiella pneumoniae	Klebsiella	PRJNA692198	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP092536.1&rettype=fasta&retmode=text	NZ_CP092536.1.fna	
GCF_030284485.1	GCF_030284485.1	NZ_CP127235.1	chromosome	5457284	circular	Klebsiella pneumoniae	Klebsiella	PRJNA980413	6	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP127235.1&rettype=fasta&retmode=text	NZ_CP127235.1.fna	
GCF_030284505.1	GCF_030284505.1	NZ_CP127229.1	chromosome	5425140	circular	Klebsiella pneumoniae	Klebsiella	PRJNA980413	2	2	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP127229.1&rettype=fasta&retmode=text	NZ_CP127229.1.fna	
GCF_030291155.1	GCF_030291155.1	NZ_CP127839.1	chromosome	5314411	circular	Klebsiella pneumoniae	Klebsiella	PRJNA179092	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP127839.1&rettype=fasta&retmode=text	NZ_CP127839.1.fna	
GCF_030295665.1	GCF_030295665.1	NZ_AP027263.1	chromosome	5319234	circular	Klebsiella pneumoniae	Klebsiella	PRJDB15144	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_AP027263.1&rettype=fasta&retmode=text	NZ_AP027263.1.fna	
GCF_030316115.1	GCF_030316115.1	NZ_CP128191.1	chromosome	5440573	circular	Klebsiella pneumoniae	Klebsiella	PRJNA983276	12	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP128191.1&rettype=fasta&retmode=text	NZ_CP128191.1.fna	
GCF_030322925.1	GCF_030322925.1	NZ_CP095557.1	chromosome	5340134	circular	Klebsiella pneumoniae	Klebsiella	PRJNA613369	6	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP095557.1&rettype=fasta&retmode=text	NZ_CP095557.1.fna	
GCF_030323605.1	GCF_030323605.1	NZ_CP040351.1	chromosome	5272223	circular	Klebsiella pneumoniae	Klebsiella	PRJNA542945	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP040351.1&rettype=fasta&retmode=text	NZ_CP040351.1.fna	
GCF_030323625.1	GCF_030323625.1	NZ_CP040354.1	chromosome	5246399	circular	Klebsiella pneumoniae	Klebsiella	PRJNA534193	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP040354.1&rettype=fasta&retmode=text	NZ_CP040354.1.fna	
GCF_030323665.1	GCF_030323665.1	NZ_CP040660.1	chromosome	5370865	circular	Klebsiella pneumoniae	Klebsiella	PRJNA543208	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP040660.1&rettype=fasta&retmode=text	NZ_CP040660.1.fna	
GCF_030323685.1	GCF_030323685.1	NZ_CP040657.1	chromosome	5369673	circular	Klebsiella pneumoniae	Klebsiella	PRJNA528408	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP040657.1&rettype=fasta&retmode=text	NZ_CP040657.1.fna	
GCF_030323825.1	GCF_030323825.1	NZ_CP040711.1	chromosome	5446472	circular	Klebsiella pneumoniae	Klebsiella	PRJNA544990	3	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP040711.1&rettype=fasta&retmode=text	NZ_CP040711.1.fna	
GCF_030324175.1	GCF_030324175.1	NZ_CP106890.1	chromosome	5456289	circular	Klebsiella pneumoniae	Klebsiella	PRJNA882063	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP106890.1&rettype=fasta&retmode=text	NZ_CP106890.1.fna	
GCF_030347245.1	GCF_030347245.1	NZ_CP106886.1	chromosome	5456077	circular	Klebsiella pneumoniae	Klebsiella	PRJNA882063	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP106886.1&rettype=fasta&retmode=text	NZ_CP106886.1.fna	
GCF_030369655.1	GCF_030369655.1	NZ_CP128487.1	chromosome	5286707	circular	Klebsiella pneumoniae	Klebsiella	PRJNA983216	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP128487.1&rettype=fasta&retmode=text	NZ_CP128487.1.fna	
GCF_030388425.1	GCF_030388425.1	NZ_CP118691.1	chromosome	5469488	circular	Klebsiella pneumoniae	Klebsiella	PRJNA937332	2	2	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP118691.1&rettype=fasta&retmode=text	NZ_CP118691.1.fna	
GCF_030388445.1	GCF_030388445.1	NZ_CP122381.1	chromosome	5367731	circular	Klebsiella pneumoniae	Klebsiella	PRJNA953676	9	5	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP122381.1&rettype=fasta&retmode=text	NZ_CP122381.1.fna	
GCF_030406515.2	GCF_030406515.2	NZ_CP133401.1	chromosome	5426717	circular	Klebsiella pneumoniae	Klebsiella	PRJNA988307	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP133401.1&rettype=fasta&retmode=text	NZ_CP133401.1.fna	
GCF_030412885.1	GCF_030412885.1	NZ_CP129186.1	chromosome	5286700	circular	Klebsiella pneumoniae	Klebsiella	PRJNA983216	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP129186.1&rettype=fasta&retmode=text	NZ_CP129186.1.fna	
GCF_030414235.1	GCF_030414235.1	NZ_CP129202.1	chromosome	5172332	circular	Klebsiella pneumoniae	Klebsiella	PRJNA985056	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP129202.1&rettype=fasta&retmode=text	NZ_CP129202.1.fna	
GCF_030442015.2	GCF_030442015.2	NZ_CP132961.1	chromosome	5214303	circular	Klebsiella pneumoniae	Klebsiella	PRJNA966776	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP132961.1&rettype=fasta&retmode=text	NZ_CP132961.1.fna	
GCF_030442105.2	GCF_030442105.2	NZ_CP132964.1	chromosome	5274312	circular	Klebsiella pneumoniae	Klebsiella	PRJNA966776	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP132964.1&rettype=fasta&retmode=text	NZ_CP132964.1.fna	
GCF_030489745.1	GCF_030489745.1	NZ_CP129694.1	chromosome	5475219	circular	Klebsiella pneumoniae	Klebsiella	PRJNA990923	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP129694.1&rettype=fasta&retmode=text	NZ_CP129694.1.fna	
GCF_030489765.1	GCF_030489765.1	NZ_CP129764.1	chromosome	5434670	circular	Klebsiella pneumoniae	Klebsiella	PRJNA990923	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP129764.1&rettype=fasta&retmode=text	NZ_CP129764.1.fna	
GCF_030489785.1	GCF_030489785.1	NZ_CP129700.1	chromosome	5259269	circular	Klebsiella pneumoniae	Klebsiella	PRJNA990923	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP129700.1&rettype=fasta&retmode=text	NZ_CP129700.1.fna	
GCF_030489805.1	GCF_030489805.1	NZ_CP129705.1	chromosome	5421901	circular	Klebsiella pneumoniae	Klebsiella	PRJNA990923	2	2	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP129705.1&rettype=fasta&retmode=text	NZ_CP129705.1.fna	
GCF_030489825.1	GCF_030489825.1	NZ_CP129689.1	chromosome	5541393	circular	Klebsiella pneumoniae	Klebsiella	PRJNA990923	6	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP129689.1&rettype=fasta&retmode=text	NZ_CP129689.1.fna	
GCF_030489845.1	GCF_030489845.1	NZ_CP129702.1	chromosome	5245325	circular	Klebsiella pneumoniae	Klebsiella	PRJNA990923	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP129702.1&rettype=fasta&retmode=text	NZ_CP129702.1.fna	
GCF_030489865.1	GCF_030489865.1	NZ_CP129721.1	chromosome	5433659	circular	Klebsiella pneumoniae	Klebsiella	PRJNA990923	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP129721.1&rettype=fasta&retmode=text	NZ_CP129721.1.fna	
GCF_030489885.1	GCF_030489885.1	NZ_CP129718.1	chromosome	5416226	circular	Klebsiella pneumoniae	Klebsiella	PRJNA990923	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP129718.1&rettype=fasta&retmode=text	NZ_CP129718.1.fna	
GCF_030489905.1	GCF_030489905.1	NZ_CP129715.1	chromosome	5465738	circular	Klebsiella pneumoniae	Klebsiella	PRJNA990923	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP129715.1&rettype=fasta&retmode=text	NZ_CP129715.1.fna	
GCF_030489925.1	GCF_030489925.1	NZ_CP129710.1	chromosome	5421775	circular	Klebsiella pneumoniae	Klebsiella	PRJNA990923	2	2	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP129710.1&rettype=fasta&retmode=text	NZ_CP129710.1.fna	
GCF_030489945.1	GCF_030489945.1	NZ_CP129739.1	chromosome	5352123	circular	Klebsiella pneumoniae	Klebsiella	PRJNA990923	2	2	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP129739.1&rettype=fasta&retmode=text	NZ_CP129739.1.fna	
GCF_030489985.1	GCF_030489985.1	NZ_CP129743.1	chromosome	5526583	circular	Klebsiella pneumoniae	Klebsiella	PRJNA990923	2	2	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP129743.1&rettype=fasta&retmode=text	NZ_CP129743.1.fna	
GCF_030490005.1	GCF_030490005.1	NZ_CP129779.1	chromosome	5485991	circular	Klebsiella pneumoniae	Klebsiella	PRJNA990923	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP129779.1&rettype=fasta&retmode=text	NZ_CP129779.1.fna	
GCF_030490025.1	GCF_030490025.1	NZ_CP129763.1	chromosome	5435314	circular	Klebsiella pneumoniae	Klebsiella	PRJNA990923	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP129763.1&rettype=fasta&retmode=text	NZ_CP129763.1.fna	
GCF_030490045.1	GCF_030490045.1	NZ_CP129784.1	chromosome	5487546	circular	Klebsiella pneumoniae	Klebsiella	PRJNA990923	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP129784.1&rettype=fasta&retmode=text	NZ_CP129784.1.fna	
GCF_030490065.1	GCF_030490065.1	NZ_CP129770.1	chromosome	4780065	circular	Klebsiella pneumoniae	Klebsiella	PRJNA990923	2	2	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP129770.1&rettype=fasta&retmode=text	NZ_CP129770.1.fna	
GCF_030490085.1	GCF_030490085.1	NZ_CP129775.1	chromosome	5487710	circular	Klebsiella pneumoniae	Klebsiella	PRJNA990923	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP129775.1&rettype=fasta&retmode=text	NZ_CP129775.1.fna	
GCF_030490105.1	GCF_030490105.1	NZ_CP129803.1	chromosome	5457083	circular	Klebsiella pneumoniae	Klebsiella	PRJNA990923	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP129803.1&rettype=fasta&retmode=text	NZ_CP129803.1.fna	
GCF_030490125.1	GCF_030490125.1	NZ_CP129809.1	chromosome	5526701	circular	Klebsiella pneumoniae	Klebsiella	PRJNA990923	2	2	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP129809.1&rettype=fasta&retmode=text	NZ_CP129809.1.fna	
GCF_030490145.1	GCF_030490145.1	NZ_CP129814.1	chromosome	5528089	circular	Klebsiella pneumoniae	Klebsiella	PRJNA990923	2	2	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP129814.1&rettype=fasta&retmode=text	NZ_CP129814.1.fna	
GCF_030490165.1	GCF_030490165.1	NZ_CP129824.1	chromosome	5432432	circular	Klebsiella pneumoniae	Klebsiella	PRJNA990923	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP129824.1&rettype=fasta&retmode=text	NZ_CP129824.1.fna	
GCF_030490205.1	GCF_030490205.1	NZ_CP129847.1	chromosome	5390751	circular	Klebsiella pneumoniae	Klebsiella	PRJNA990923	2	2	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP129847.1&rettype=fasta&retmode=text	NZ_CP129847.1.fna	
GCF_030490225.1	GCF_030490225.1	NZ_CP129829.1	chromosome	5465734	circular	Klebsiella pneumoniae	Klebsiella	PRJNA990923	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP129829.1&rettype=fasta&retmode=text	NZ_CP129829.1.fna	
GCF_030490245.1	GCF_030490245.1	NZ_CP129725.1	chromosome	5441069	circular	Klebsiella pneumoniae	Klebsiella	PRJNA990923	6	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP129725.1&rettype=fasta&retmode=text	NZ_CP129725.1.fna	
GCF_030490405.1	GCF_030490405.1	NZ_CP129841.1	chromosome	5440071	circular	Klebsiella pneumoniae	Klebsiella	PRJNA990923	2	2	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP129841.1&rettype=fasta&retmode=text	NZ_CP129841.1.fna	
GCF_030490425.1	GCF_030490425.1	NZ_CP129790.1	chromosome	5445559	circular	Klebsiella pneumoniae	Klebsiella	PRJNA990923	2	2	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP129790.1&rettype=fasta&retmode=text	NZ_CP129790.1.fna	
GCF_030490445.1	GCF_030490445.1	NZ_CP129794.1	chromosome	5318633	circular	Klebsiella pneumoniae	Klebsiella	PRJNA990923	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP129794.1&rettype=fasta&retmode=text	NZ_CP129794.1.fna	
GCF_030490465.1	GCF_030490465.1	NZ_CP129730.1	chromosome	5308421	circular	Klebsiella pneumoniae	Klebsiella	PRJNA990923	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP129730.1&rettype=fasta&retmode=text	NZ_CP129730.1.fna	
GCF_030490485.1	GCF_030490485.1	NZ_CP129734.1	chromosome	5383608	circular	Klebsiella pneumoniae	Klebsiella	PRJNA990923	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP129734.1&rettype=fasta&retmode=text	NZ_CP129734.1.fna	
GCF_030490505.1	GCF_030490505.1	NZ_CP129747.1	chromosome	5257869	circular	Klebsiella pneumoniae	Klebsiella	PRJNA990923	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP129747.1&rettype=fasta&retmode=text	NZ_CP129747.1.fna	
GCF_030490535.1	GCF_030490535.1	NZ_CP129751.1	chromosome	5439096	circular	Klebsiella pneumoniae	Klebsiella	PRJNA990923	6	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP129751.1&rettype=fasta&retmode=text	NZ_CP129751.1.fna	
GCF_030490555.1	GCF_030490555.1	NZ_CP129819.1	chromosome	5449006	circular	Klebsiella pneumoniae	Klebsiella	PRJNA990923	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP129819.1&rettype=fasta&retmode=text	NZ_CP129819.1.fna	
GCF_030490575.1	GCF_030490575.1	NZ_CP129799.1	chromosome	5424294	circular	Klebsiella pneumoniae	Klebsiella	PRJNA990923	2	2	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP129799.1&rettype=fasta&retmode=text	NZ_CP129799.1.fna	
GCF_030490595.1	GCF_030490595.1	NZ_CP129832.1	chromosome	5476994	circular	Klebsiella pneumoniae	Klebsiella	PRJNA990923	6	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP129832.1&rettype=fasta&retmode=text	NZ_CP129832.1.fna	
GCF_030490615.1	GCF_030490615.1	NZ_CP129849.1	chromosome	5488009	circular	Klebsiella pneumoniae	Klebsiella	PRJNA990923	2	2	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP129849.1&rettype=fasta&retmode=text	NZ_CP129849.1.fna	
